subject,experiment,session,slope,intercept,rmse,mu,sig,se,n_syncs,corr1,corr2
R1035M,PAL1,0,0.996251227845361,4.627825138837272,9.40766489247874,-1.4438228390645236e-13,9.40766489247874,0.940766489247874,100,0.9979407955562114,0.38655783100984575
R1035M,FR2,0,0.5393285818870999,408.56978158475664,226.45762999777907,-5.10453901370056e-13,226.4576299977791,22.645762999777908,100,0.3281595547506286,0.2785849689510405
R1036M,catFR1,0,0.9946039871895563,6.455839047437642,10.120001967944557,7.571543392259628e-13,10.120001967944559,1.0120001967944559,100,0.9976676362910859,0.36848260690229867
R1036M,PAL1,0,0.9960566426604279,4.7576699556491935,9.449618654895778,2.6147972675971685e-13,9.449618654895778,0.9449618654895777,100,0.9972368642446612,0.4086698818981456
R1036M,catFR2,0,0.9956911051856211,5.258831541246756,9.983446386781752,-1.568878360558301e-13,9.983446386781754,0.9983446386781754,100,0.9977242411040825,0.3265838605568636
R1036M,PAL2,0,0.9930461885989659,7.953944189182086,9.304703628664944,-4.240519047016278e-13,9.304703628664946,0.9304703628664945,100,0.9973896480742902,0.3089728099264878
R1036M,catFR2,1,0.9963435784905281,4.669897612533266,10.067739581258992,1.8530954548623412e-13,10.067739581258994,1.0067739581258994,100,0.9976196808474137,0.33695776871258415
R1036M,catFR2,2,0.7694514323721615,288.6056486939207,336.0970837366264,-9.094947017729283e-14,336.0970837366264,33.60970837366264,100,0.3052551027700833,0.29569197788291507
R1039M,catFR1,0,0.9932249537878746,7.985560193701469,9.97532126862048,1.0231815394945443e-13,9.97532126862048,0.997532126862048,100,0.9979144737891283,0.3262560267771176
R1039M,catFR2,0,0.9949199783272717,6.093775944720848,10.071855035652687,-1.375610736431554e-13,10.071855035652689,1.0071855035652688,100,0.9974918537527399,0.3582913399731872
R1041M,catFR1,0,0.9959173519372974,4.939213662823258,10.607960091811753,5.229594535194337e-13,10.607960091811755,1.0607960091811754,100,0.9974999477371584,0.3287286115005063
R1041M,catFR2,0,0.9954748285388106,5.538391880078256,10.001752056247126,7.389644451905042e-13,10.001752056247126,1.0001752056247126,100,0.9977744657643859,0.30600895496778535
R1042M,catFR1,0,0.9934945186797204,7.425211369913214,9.911447710226485,-5.2295945351943376e-14,9.911447710226485,0.9911447710226484,100,0.9974449064221312,0.33607869928379847
R1042M,PAL1,0,0.9975772346879651,3.137277820952381,8.544079328434757,1.2732925824820997e-13,8.544079328434758,0.8544079328434758,100,0.9983619338251971,0.39724946129627625
R1042M,catFR2,0,0.9950302148422547,5.886980614391254,9.964000258244587,1.7053025658242404e-13,9.964000258244585,0.9964000258244585,100,0.9974756362525053,0.3903773641234818
R1044J,catFR1,0,0.9989526979059861,-4.2325198646298166,1.7713726007859696,2.2737367544323206e-13,1.7713726007859694,0.17713726007859693,100,0.9999276719422138,0.3355717031541662
R1045E,catFR1,0,0.4440207589420698,559.3167956649675,170.6411560152494,-1.1368683772161603e-13,170.6411560152494,17.06411560152494,100,0.34259222808694134,0.32761081175412554
R1045E,catFR1,1,0.997272238976863,4.624717167282681,9.858790100328356,-9.43600753089413e-14,9.858790100328356,0.9858790100328356,100,0.9977745274978714,0.34158758785112386
R1048E,FR1,0,0.9985476112196592,1.4601073169660765,4.172259481896321,-2.1486812329385429e-13,4.172259481896321,0.41722594818963205,100,0.9995549930549885,0.351905943432882
R1049J,FR1,0,1.0036553296908497,-2.6838047091418247,10.262373239952925,-4.2291503632441165e-13,10.262373239952927,1.0262373239952927,100,0.9973616920405881,0.3191998244656072
R1050M,PAL1,0,0.9949500925227529,6.013933204888143,8.832622718732614,-9.663381206337362e-14,8.832622718732614,0.8832622718732613,100,0.9982694878306227,0.34765751598167505
R1050M,catFR1,0,0.993492121469564,7.6067592983263355,9.708986738269205,2.0008883439004421e-13,9.708986738269205,0.9708986738269205,100,0.997822114997911,0.3109980664050818
R1050M,PAL2,0,0.9954776986122496,5.411413580821341,9.051889824246869,-1.0459189070388675e-13,9.05188982424687,0.905188982424687,100,0.9979819424410588,0.31895924880018756
R1050M,catFR2,0,2.1476956006447985,-919.62801237167,479.2778223944259,-2.652692880171041e-13,479.27782239442587,87.50375821246057,30,0.5040548806979996,0.4972536907824117
R1051J,FR1,0,0.9938008047027005,7.345541055317149,9.89172750255549,3.3082869776990266e-13,9.891727502555488,0.9891727502555488,100,0.9974565698890461,0.33386261049540844
R1051J,FR1,1,0.9934612830366141,7.546619420573469,9.491039428586282,-1.9554136088117957e-13,9.491039428586278,0.9491039428586279,100,0.997474529221749,0.39141872597993443
R1051J,FR1,2,0.998898600165593,-6.405176233100636,1.299736524279685,1.0459189070388675e-13,1.299736524279685,0.1299736524279685,100,0.9999598655938784,0.3605683336707268
R1053M,FR1,0,0.9976299225765973,2.924265553535207,8.395959124908094,1.1709744285326451e-13,8.39595912490809,0.839595912490809,100,0.998192688432452,0.30842231090742694
R1053M,FR2,0,1.0051432115196814,-5.268780373745596,4.263845806588486,2.467004378559068e-13,4.263845806588486,0.42638458065884854,100,0.9996121019817803,0.3144355605694439
R1054J,FR1,0,1.0003241289973241,-0.37592729282732174,1.3476515894082024,-5.775291356258094e-13,1.3476515894082024,0.13476515894082025,100,0.9999573482732824,0.31449106938588256
R1054J,FR1,1,0.994802559539784,6.415483233293948,10.373130276280182,1.1254996934439987e-13,10.37313027628018,1.037313027628018,100,0.9974678510445548,0.3319553464728088
R1055J,FR1,0,0.9994728218607857,-5.531187608554598,1.1791337624765355,-4.3087311496492476e-13,1.1791337624765355,0.11791337624765355,100,0.9999679996635469,0.3148537140625937
R1055J,FR1,1,0.9943205911758609,6.685306928377282,9.75199948126677,9.094947017729283e-14,9.751999481266768,0.9751999481266769,100,0.9977851486525275,0.43399019784870974
R1056M,PAL1,0,0.9956346953777356,5.254293697370591,9.694876436208078,-6.582467904081568e-13,9.694876436208082,0.9694876436208082,100,0.9975169208218116,0.2993837880505461
R1056M,catFR1,0,0.993225215005493,7.827271020467146,9.868369374396535,-1.2505552149377763e-14,9.868369374396535,0.9868369374396535,100,0.9976983648895553,0.3502289262504169
R1056M,FR2,0,0.9932196794129622,7.789927387925346,10.257797751595065,4.661160346586257e-13,10.257797751595065,1.0257797751595066,100,0.99725858313389,0.3366761819572792
R1057E,FR1,0,0.8674789079531253,237.02888594677444,346.79372732787266,-9.322320693172514e-14,346.79372732787266,34.679372732787265,100,0.3241550101477902,0.31140478185662773
R1060M,PAL2,0,0.4835554048880795,523.4414970430778,139.34990716156653,8.855606306736406e-14,139.34990716156656,14.296998811284329,95,0.44549490073953163,0.36597311919742687
R1060M,FR2,1,0.9950761592058597,5.810264803112105,10.19458473494739,-3.524291969370097e-14,10.194584734947393,1.0194584734947392,100,0.9973351254023002,0.32576974558817157
R1060M,PAL2,1,0.32047863213646166,686.9774724822801,143.9464558699741,4.172306944383308e-13,143.9464558699741,14.39464558699741,100,0.29924797450352375,0.2884993580783381
R1060M,FR1,3,0.9943300498631069,6.7741518928579865,9.834268408175088,5.047695594839752e-13,9.834268408175086,0.9834268408175086,100,0.9973164394447688,0.2958763827086959
R1060M,FR1,2,1.314698399281304,-128.02844343472,516.2638093148074,-1.9099388737231492e-13,516.2638093148074,51.62638093148074,100,0.3438438037789085,0.3379916426206644
R1060M,FR1,1,0.9936121122193654,7.452550366296286,9.922541345253915,-7.480593922082335e-13,9.922541345253917,0.9922541345253917,100,0.9977731983142099,0.32417101332465736
R1060M,PAL1,0,1.180147280849858,-274.42070724330904,449.141330746534,-1.0936673788819461e-12,449.141330746534,44.9141330746534,100,0.33353718529560367,0.3249810078406178
R1060M,catFR1,0,1.060750099413513,68.77121127219037,443.37369676094517,5.0022208597511053e-14,443.37369676094517,44.33736967609452,100,0.32093710196347225,0.30591188498841926
R1060M,catFR2,0,0.9947901562818627,6.335461749998017,9.983599420293896,2.6147972675971688e-14,9.983599420293896,0.9983599420293896,100,0.997463534614597,0.36513527057647377
R1061T,FR1,1,0.994482639750551,6.438918688267729,9.645698653890218,2.97859514830634e-13,9.645698653890221,0.9645698653890221,100,0.997719013290006,0.31024805939381944
R1061T,catFR1,0,0.9971264357733653,3.8701159741239772,10.234101207245708,5.093170329928399e-13,10.234101207245706,1.0234101207245705,100,0.9976979103203677,0.35672645630649247
R1061T,FR1,2,0.9908379779712233,10.315233525675158,9.834929372888126,3.774403012357652e-13,9.834929372888128,0.9834929372888128,100,0.9976584259420369,0.35653840886789223
R1061T,FR1,3,1.0002285460429614,-0.2822279197131316,0.6973103611452083,4.376943252282217e-13,0.6973103611452083,0.06973103611452083,100,0.9999899122544585,0.43298142404684653
R1062J,FR1,0,0.9969149957485265,4.0506898317470705,9.862636583356082,3.9904080040287224e-13,9.862636583356082,0.9862636583356081,100,0.9977683140381416,0.2843053405124341
R1062J,FR1,1,0.9957750104954235,5.212467735999396,9.743536358359234,-2.091837814077735e-13,9.743536358359233,0.9743536358359233,100,0.9977768404902978,0.2710373073075879
R1062J,FR1,2,0.9081292568141341,97.12018094879078,106.29726719399166,-7.366907084360719e-13,106.29726719399167,10.629726719399168,100,0.7740691765799597,0.34061281262137755
