subject,subject_alias,experiment,original_experiment,session,original_session,system_version
R1036M,R1036M,PAL2,,0,0,1.0
R1036M,R1036M,catFR1,,0,0,1.0
R1036M,R1036M,catFR2,,0,0,1.0
R1036M,R1036M,catFR2,,1,1,1.0
R1036M,R1036M,catFR2,,2,2,1.0
R1037D,R1037D,YC1,,0,0,1.0
R1037D,R1037D,YC1,,1,1,1.0
R1037D,R1037D,YC1,,2,2,1.0
R1037D,R1037D,YC2,,0,0,1.0
R1037D,R1037D,YC2,,1,1,1.0
R1037D,R1037D,YC2,,2,2,1.0
R1037D,R1037D,YC2,,3,4,1.0
R1037D,R1037D,YC2,,4,5,1.0
R1039M,R1039M,FR1,,0,0,1.0
R1039M,R1039M,catFR1,,0,0,1.0
R1039M,R1039M,catFR2,,0,0,1.0
R1041M,R1041M,YC1,,0,0,1.0
R1041M,R1041M,YC1,,1,1,1.0
R1041M,R1041M,YC1,,2,2,1.0
R1041M,R1041M,catFR1,,0,0,1.0
R1041M,R1041M,catFR2,,0,0,1.0
R1042M,R1042M,FR1,,0,0,1.0
R1042M,R1042M,FR2,,0,0,1.0
R1042M,R1042M,PAL1,,0,0,1.0
R1042M,R1042M,YC1,,0,0,1.0
R1042M,R1042M,YC2,,0,0,1.0
R1042M,R1042M,catFR1,,0,0,1.0
R1042M,R1042M,catFR2,,0,0,1.0
R1044J,R1044J,FR1,,0,0,1.0
R1044J,R1044J,PS1,PS,0,1,1.0
R1044J,R1044J,PS1,PS,1,3,1.0
R1044J,R1044J,YC1,,0,0,1.0
R1044J,R1044J,catFR1,CatFR1,0,,1.0
R1045E,R1045E,FR1,,0,0,1.0
R1045E,R1045E,PS1,PS,0,2,1.0
R1045E,R1045E,YC1,,0,0,1.0
R1045E,R1045E,YC1,,1,1,1.0
R1045E,R1045E,catFR1,,0,0,1.0
R1045E,R1045E,catFR1,,1,1,1.0
R1047D,R1047D,YC1,,0,0,1.0
R1047D,R1047D,YC1,,1,1,1.0
R1047D,R1047D,YC2,,0,1,1.0
R1048E,R1048E,FR1,,0,0,1.0
R1048E,R1048E_1,FR2,,0,0,1.0
R1048E,R1048E,YC1,,0,0,1.0
R1049J,R1049J,FR1,,0,,1.0
R1049J,R1049J,YC1,,0,0,1.0
R1049J,R1049J,YC1,,1,1,1.0
R1050M,R1050M,FR1,,0,0,1.0
R1050M,R1050M,FR2,,0,0,1.0
R1050M,R1050M,PAL1,,0,0,1.0
R1050M,R1050M,PAL2,,0,0,1.0
R1050M,R1050M,PS1,PS,0,2,1.0
R1050M,R1050M,PS2,PS,0,3,1.0
R1050M,R1050M,PS3,PS,0,4,1.0
R1050M,R1050M,YC1,,0,0,1.0
R1050M,R1050M,YC2,,0,0,1.0
R1050M,R1050M,catFR1,,0,0,1.0
R1050M,R1050M,catFR2,,0,0,1.0
R1051J,R1051J,FR1,,0,0,1.0
R1051J,R1051J,FR1,,1,1,1.0
R1051J,R1051J,FR1,,2,2,1.0
R1051J,R1051J,PS1,PS,0,1,1.0
R1051J,R1051J,PS1,PS,1,4,1.0
R1051J,R1051J,PS2,PS,0,5,1.0
R1051J,R1051J,PS3,PS,0,2,1.0
R1051J,R1051J,PS3,PS,1,6,1.0
R1051J,R1051J,YC1,,0,0,1.0
R1051J,R1051J,YC1,,1,1,1.0
R1052E,R1052E_1,FR1,,0,0,1.0
R1052E,R1052E_1,FR1,,1,1,1.0
R1052E,R1052E_1,FR2,,0,0,1.0
R1052E,R1052E_1,PS1,PS,0,2,1.0
R1052E,R1052E,YC1,,0,0,1.0
R1052E,R1052E_1,YC1,,1,0,1.0
R1052E,R1052E_1,YC1,,2,1,1.0
R1052E,R1052E_2,YC1,,3,0,1.0
R1052E,R1052E_2,YC1,,4,1,1.0
R1053M,R1053M,FR1,,0,0,1.0
R1053M,R1053M,FR2,,0,0,1.0
R1054J,R1054J,FR1,,0,0,1.0
R1054J,R1054J,FR1,,1,1,1.0
R1054J,R1054J,PS1,PS,0,0,1.0
R1054J,R1054J,PS1,PS,1,1,1.0
R1054J,R1054J,PS3,PS,0,2,1.0
R1054J,R1054J,PS3,PS,1,3,1.0
R1054J,R1054J,YC1,,0,0,1.0
R1056M,R1056M,FR1,,0,,1.0
R1056M,R1056M,FR2,,0,0,1.0
R1056M,R1056M,PAL1,,0,0,1.0
R1056M,R1056M,PS1,PS,0,0,1.0
R1056M,R1056M,PS1,PS,1,4,1.0
R1056M,R1056M,PS1,PS,2,8,1.0
