subject,subject_alias,experiment,original_experiment,session,original_session
UP036,,pyFR,,0,
UP037,,pyFR,,0,
UP037,,pyFR,,1,
UP037,,pyFR,,2,
UP038,,pyFR,,0,
UP040,,pyFR,,0,
UP040,,pyFR,,1,
UP040,,pyFR,,2,
UP040,,pyFR,,3,
UP041,,pyFR,,0,
UP041,,pyFR,,1,
UP041,,pyFR,,2,
UP042,,pyFR,,0,
UP043,,pyFR,,0,
UP043,,pyFR,,1,
UP044,,pyFR,,0,
UP044,,pyFR,,1,
UP044,,pyFR,,0,
UP044,,pyFR,,1,
UP044,,pyFR,,2,
R1001P,R1001P,YC1,,0,0.0
R1001P,R1001P,YC1,,1,1.0
R1015J,R1015J,YC1,,1,1.0
R1020J,R1020J,FR1,,0,0.0
R1020J,R1020J,FR2,,0,0.0
R1020J,R1020J,FR2,,1,1.0
R1020J,R1020J,FR2,,2,2.0
R1020J,R1020J,FR2,,3,3.0
R1020J,R1020J,YC2,,0,0.0
R1020J,R1020J,YC2,,1,1.0
R1021D,R1021D,YC1,,1,1.0
R1024E,R1024E_2,YC2,,3,1.0
R1044J,R1044J,catFR1,CatFR1,0,
R1047D,R1047D,YC1,,1,1.0
R1059J,R1059J_2,PS1,PS,3,6.0
R1059J,R1059J_2,PS2,PS,3,8.0
R1059J,R1059J_2,PS3,PS,3,7.0
R1060M,R1060M,YC1,,1,2.0
R1061T,R1061T,PS1,PS,0,1.0
R1067P,R1067P,YC1,,0,0.0
R1074M,R1074M,YC1,,0,0.0
R1074M,R1074M,YC2,,0,0.0
R1079E,R1079E,YC1,,0,0.0
R1121M,R1121M,FR1,,3,3.0
R1121M,R1121M,FR1,,4,4.0
R1121M,R1121M,FR1,,5,5.0
R1121M,R1121M,FR1,,6,6.0
R1121M,R1121M,FR1,,7,7.0
R1121M,R1121M,PAL1,,2,2.0
R1121M,R1121M,PAL1,,3,3.0
R1175N,R1175N,PAL3,,0,0.0
R1175N,R1175N,PS2.1,PS21,0,
R1196N,R1196N,PAL1,,0,2.0
R1196N,R1196N,PAL1,,1,3.0
R1219C,R1219C,TH1,,2,
R1284N,R1284N,PAL3,,2,
R1284N,R1284N,PS2.1,PS21,0,
R1289C,R1289C,TH1,,3,
R1289C,R1289C,TH1,,5,
R1523E,R1523E,DBOY1,,0,
