subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1042M,R1042M,YC1,,0,0,0,0,0
R1042M,R1042M,YC2,,0,0,0,0,0
R1042M,R1042M,catFR1,,0,0,1,0,0
R1042M,R1042M,catFR2,,0,0,1,0,0
R1044J,R1044J,FR1,,0,0,1,0,0
R1044J,R1044J,PS1,PS,0,1,1,0,0
R1044J,R1044J,PS1,PS,1,3,1,0,0
R1044J,R1044J,YC1,,0,0,0,0,0
R1044J,R1044J,catFR1,CatFR1,0,,0,0,0
R1045E,R1045E,FR1,,0,0,1,0,0
R1045E,R1045E,PS1,PS,0,2,1,0,0
R1045E,R1045E,YC1,,0,0,0,0,0
R1045E,R1045E,YC1,,1,1,0,0,0
R1045E,R1045E,catFR1,,0,0,1,0,0
R1045E,R1045E,catFR1,,1,1,1,0,0
R1047D,R1047D,YC1,,0,0,0,0,0
R1047D,R1047D,YC1,,1,1,0,0,0
R1047D,R1047D,YC2,,0,1,0,0,0
R1048E,R1048E,FR1,,0,0,1,0,0
R1048E,R1048E_1,FR2,,0,0,1,0,0
R1048E,R1048E,YC1,,0,0,0,0,0
R1049J,R1049J,FR1,,0,,1,0,0
R1049J,R1049J,YC1,,0,0,0,0,0
R1049J,R1049J,YC1,,1,1,0,0,0
R1050M,R1050M,FR1,,0,0,1,0,0
R1050M,R1050M,FR2,,0,0,1,0,0
R1050M,R1050M,PAL1,,0,0,1,0,0
R1050M,R1050M,PAL2,,0,0,1,0,0
R1050M,R1050M,PS1,PS,0,2,1,0,0
R1050M,R1050M,PS2,PS,0,3,1,0,0
R1050M,R1050M,PS3,PS,0,4,1,0,0
R1050M,R1050M,YC1,,0,0,0,0,0
R1050M,R1050M,YC2,,0,0,0,0,0
R1050M,R1050M,catFR1,,0,0,1,0,0
R1050M,R1050M,catFR2,,0,0,1,0,0
R1051J,R1051J,FR1,,0,0,1,0,0
R1051J,R1051J,FR1,,1,1,1,0,0
